TransactionID,DateOfSale,CustomerID,Region,Product,Category,SalesAmount,QuantitySold,Discount,CostOfGoodsSold
9e7302d4,2023-04-15,9de249, EAST ,product d  ,Sports,193.52,3,15,152.4
773d961d,2023-09-28,6d2b2c, WEST ,,Sports,,4,10,225.29
d66309b3,2023-05-31,3c019d, SOUTH ,product b  ,Electronics,368.68,4,15,170.99
9f61d738,2023-09-07,43bd07, EAST ,product e  ,Electronics,303.34,2,0,29.57
ccc96d83,2023-12-19,8af521, EAST ,product d  ,Sports,86.45,1,15,59.75
795d248f,2023-09-14,92b74f, NORTH ,product b  ,Electronics,86.44,4,10,69.7
2edce366,2023-08-16,cb3b65, WEST ,product a  ,Home Goods,38.46,2,10,81.07
18b2ddfa,2023-01-19,e8672d, WEST ,product d  ,Electronics,434.43,3,10,171.79
e6635045,2023-09-14,d3bb14, EAST ,product b  ,Electronics,304.55,3,10,153.67
2fa46323,2023-02-11,5e40b3, WEST ,product c  ,Toys,356.96,3,0,64.93
f101fb46,2023-04-26,6963ca, SOUTH ,product c  ,Home Goods,20.09,3,15,24.93
c7e82760,2023-03-06,0d00f7, WEST ,product c  ,Electronics,485.26,2,10,55.57
64f82c3a,2023-12-21,a14021, SOUTH ,product d  ,Electronics,417.9,1,20,295.39
c068a516,2023-09-14,df35d9, NORTH ,product e  ,Sports,114.05,2,0,143.22
b607cf1f,2023-04-04,b70edc, SOUTH ,product d  ,Electronics,99.09,1,0,260.87
c7a11dee,2023-03-23,11fc4c, SOUTH ,product a  ,Home Goods,99.87,3,5,255.38
c77f02f9,2023-07-18,dba725, WEST ,product b  ,Electronics,159.08,4,20,155.9
b90c3514,2023-05-16,118dc3, NORTH ,product e  ,Electronics,,4,5,213.47
c98a7617,2023-08-30,f1dbc4,,product e  ,Electronics,221.65,4,10,61.86
03acf20f,2023-01-09,7f2aa1, SOUTH ,product e  ,Electronics,152.7,1,5,208.08
15b8b588,2023-10-26,af99a5, NORTH ,product c  ,Home Goods,309.81,3,10,85.35
c876bc48,2023-06-12,25c6b8, SOUTH ,product d  ,Sports,78.35,2,15,250.46
fdec2f47,2023-12-26,eba573, SOUTH ,product d  ,Sports,153.15,4,15,29.7
b3c77da6,2023-05-20,a89769, WEST ,product b  ,Home Goods,189.52,1,0,233.08
8b042a43,2023-10-06,1cb7a4, NORTH ,,Home Goods,233.47,4,15,34.48
6387e4b1,2023-07-13,4331e3, NORTH ,product c  ,Apparel,394.74,2,15,264.95
1e1a87c4,2023-10-13,e754a3, SOUTH ,product a  ,Home Goods,107.84,3,10,94.74
6b9c45c1,2023-02-28,b51a74, NORTH ,product c  ,Toys,261.97,2,10,198.05
b02e0505,2023-04-05,90bd26, NORTH ,product d  ,Electronics,300.28,3,20,148.81
aa8d1d8c,2023-01-29,129068, WEST ,product d  ,Electronics,32.76,3,20,113.06
2926ec07,2023-03-04,689762, NORTH ,product a  ,Sports,307.7,3,20,195.41
3d7dfd67,2023-07-07,c5b9c1, NORTH ,product c  ,Electronics,93.56,4,5,284.52
069c35e0,2023-08-06,40fb56,,product c  ,Electronics,41.88,2,15,17.17
77fa90c5,2023-07-05,df54fe, NORTH ,product e  ,Sports,474.95,4,5,276.06
2d983ccf,2023-04-24,e48afe, NORTH ,product a  ,Electronics,483.16,2,10,184.68
58835011,2023-03-02,815f34, EAST ,product d  ,Apparel,406.11,1,20,243.16
cd9f11d0,2023-12-31,1999b4, EAST ,product d  ,Toys,159.26,1,10,118.24
d3757e1d,2023-07-13,8fe11a, SOUTH ,product c  ,Toys,57.86,2,0,144.19
a64fc58d,2023-09-27,45c7a7, NORTH ,product d  ,Apparel,345.27,2,0,261.31
4b481c74,2023-09-21,e05588, SOUTH ,product c  ,Home Goods,225.67,2,10,127.38
0b5edef3,2023-11-21,ce78c0, WEST ,product d  ,Home Goods,69.8,2,0,162.72
608e46a2,2023-09-04,33b599, EAST ,product d  ,Apparel,252.64,3,15,10.96
fcf8e6ad,2023-10-14,8b791f, WEST ,product b  ,Home Goods,26.85,4,20,51.79
c1b1caf4,2023-05-15,39d0d2, EAST ,product a  ,Electronics,455.57,3,10,194.3
3d4dd7f4,2023-06-16,c55b8c, WEST ,product b  ,Toys,136.8,4,0,216.51
c0902336,2023-03-20,93b62c, SOUTH ,product c  ,Electronics,334.64,4,15,176.87
1b445867,2023-07-19,38782a, WEST ,product e  ,Electronics,162.74,4,0,47.28
2340f14b,2023-12-24,fabf5b, WEST ,product e  ,Home Goods,264.83,3,0,136.39
a0cf5796,2023-08-12,cd040f, SOUTH ,product e  ,Home Goods,277.89,2,15,109.75
d8cff61f,2023-11-26,59519a, NORTH ,product a  ,Sports,100.58,3,20,151.22
fd3fbc67,2023-04-27,a2eac8, WEST ,product d  ,Sports,485.1,3,5,261.75
67b4f807,2023-05-16,cdb4d0, EAST ,product c  ,Sports,389.82,4,0,233.88
60551506,2023-02-06,20a4d6, EAST ,product e  ,Toys,470.35,1,5,29.78
0fc16c99,2023-05-20,d40bac, SOUTH ,product b  ,Home Goods,448.47,1,20,267.64
68160bec,2023-11-28,889f1c, SOUTH ,product b  ,Home Goods,302.97,3,10,144.17
4cde5210,2023-07-21,f03447, NORTH ,product e  ,Home Goods,461.72,4,5,224.44
85a7b7da,2024-02-30,fcc982, SOUTH ,product b  ,Toys,53.36,3,0,46.31
2ab173de,2023-06-07,2aa3ca, SOUTH ,product d  ,Home Goods,106.03,3,0,202.86
6180ac87,2023-02-03,d4bdcb, EAST ,product b  ,Toys,32.16,2,5,74.72
ebebcf1d,2023-02-25,ec21fc, WEST ,product a  ,Toys,169.41,4,15,134.32
c50ffa66,2023-05-28,111668, NORTH ,product b  ,Electronics,200.45,1,15,9.97
78c8943a,2023-12-22,5d105a, SOUTH ,product a  ,Electronics,142.96,1,5,49.73
e963cf91,2023-11-12,175ae1, NORTH ,product e  ,Home Goods,416.08,1,15,32.16
4ebe84cb,2023-07-19,c57670, WEST ,product e  ,Sports,184.81,3,5,75.72
f258b740,2023-08-26,62f677, SOUTH ,,Apparel,147.66,4,15,34.51
74f7dcd5,2023-06-26,a77082, WEST ,,Toys,275.92,2,0,209.11
8325ec15,2023-01-25,07f37b,,product b  ,Home Goods,79.05,1,20,13.57
a988f485,2023-09-21,c76ad3, EAST ,product d  ,Apparel,403.08,4,20,187.23
04cb834f,2023-08-24,ee8177, EAST ,product b  ,Sports,46.53,1,10,46.51
ed7e5bd7,2023-03-12,83f681, WEST ,product d  ,Apparel,493.57,2,15,283.82
a2111b8a,2023-09-28,2f9ac0, SOUTH ,product d  ,Sports,388.4,4,0,280.26
9dcc9c37,2023-08-16,7924d9, NORTH ,product a  ,Electronics,107.37,3,0,71.52
587f1241,2023-05-29,2e7d64, SOUTH ,product e  ,Electronics,12.71,3,10,186.25
fef31404,2023-09-25,042959, WEST ,product c  ,Toys,409.58,1,10,13.26
7ef95b22,2023-07-14,a33de2, SOUTH ,product c  ,Apparel,356.36,1,15,279.88
8608e730,2023-06-21,e64085, WEST ,product d  ,Toys,,4,5,159.28
9620df97,2023-06-25,7b321c, WEST ,product e  ,Apparel,387.92,2,5,17.75
611f2967,2023-11-11,33f104, WEST ,product c  ,Electronics,46.28,1,0,106.04
477f801b,2023-06-09,ecb7d3, NORTH ,product a  ,Sports,,4,20,27.67
b4c0be63,2023-04-08,a498e3, NORTH ,,Apparel,66.78,2,15,120.92
6ca5c9a3,2023/12/25,ca9adb, EAST ,product b  ,Home Goods,432.92,1,10,202.63
dac3fcb0,2023-11-15,919c10, SOUTH ,product e  ,Electronics,315.42,1,0,143.62
022f32d1,2023-03-10,a1b370, WEST ,product e  ,Apparel,172.14,4,20,118.2
a05e94c6,2023-02-08,2b0450, WEST ,product d  ,Apparel,41.14,1,5,40.15
95e672c1,2023-11-24,6e2334, EAST ,,Home Goods,162.38,3,10,77.26
39befe1f,2023-09-11,c808fe, WEST ,product d  ,Home Goods,169.34,2,10,34.54
9c255165,2023-10-18,3e89f7, SOUTH ,product b  ,Home Goods,367.51,2,20,243.21
df35baed,2023-02-16,039ca4, WEST ,product d  ,Apparel,322.4,3,10,44.9
4f821623,2023-07-06,e506ab, NORTH ,product e  ,Sports,444.73,4,5,180.64
7b9dc2de,2023-07-30,75585e, SOUTH ,product c  ,Toys,241.39,3,10,106.11
24f62d94,2023-11-29,e1f534, SOUTH ,product b  ,Electronics,68.6,3,20,71.66
a31a78c2,2023-11-09,f6e809, WEST ,product c  ,Home Goods,359.49,2,20,193.64
8260280d,2023-10-09,39e43f, WEST ,product c  ,Toys,382.78,4,20,139.82
6875f221,2023-07-02,ac3093, WEST ,product d  ,Apparel,285.03,1,5,123.04
f2bca130,2023-04-03,ff19b9, EAST ,product b  ,Electronics,387.77,3,20,179.89
e5d05ef9,2023-12-27,1ed577, WEST ,product e  ,Toys,251.96,3,10,149.92
b8233e83,2023-10-14,1d0fc4, NORTH ,product c  ,Sports,266.14,4,5,94.53
4a83c475,2023-03-03,b47942, SOUTH ,product e  ,Sports,219.5,3,20,169.92
7b68aa75,2023-03-28,a508fc, WEST ,product e  ,Toys,22.46,4,15,202.5
98ad02f9,2023-11-03,1d3042, EAST ,product b  ,Electronics,62.87,1,10,12.87
9086934a,2023-08-26,3ea341,,product c  ,Electronics,25.4,4,20,142.43
413af618,2023-03-11,046fa6, WEST ,product b  ,Sports,321.84,1,5,22.02
151e8916,2023-03-13,59c79f, EAST ,product d  ,Apparel,164.03,4,20,59.99
87c92267,2023-10-14,d2950a, EAST ,product c  ,Toys,259.2,3,20,170.35
b4548e16,2023-08-06,07f343, NORTH ,product d  ,Sports,454.71,1,15,260.53
